"City|State short|State full|County|City alias"
"Toronto|ON|Ontario||"
"Montreal|QC|Quebec||"
"Vancouver|BC|British Columbia||"
"Calgary|AB|Alberta||"
"Edmonton|AB|Alberta||"
"Ottawa|ON|Ontario||"
"Mississauga|ON|Ontario||"
"Winnipeg|MB|Manitoba||"
"Quebec City|QC|Quebec||"
"Hamilton|ON|Ontario||"
"Brampton|ON|Ontario||"
"Surrey|BC|British Columbia||"
"Kitchener|ON|Ontario||"
"Laval|QC|Quebec||"
"Halifax|NS|Nova Scotia||"
"London|ON|Ontario||"
"Victoria|BC|British Columbia||"
"Markham|ON|Ontario||"
"St. Catharines|ON|Ontario||"
"Niagara Falls|ON|Ontario||"
"Vaughan|ON|Ontario||"
"Gatineau|QC|Quebec||"
"Windsor|ON|Ontario||"
"Saskatoon|SK|Saskatchewan||"
"Longueuil|QC|Quebec||"
"Burnaby|BC|British Columbia||"
"Regina|SK|Saskatchewan||"
"Richmond|BC|British Columbia||"
"Richmond Hill|ON|Ontario||"
"Oakville|ON|Ontario||"
"Burlington|ON|Ontario||"
"Barrie|ON|Ontario||"
"Oshawa|ON|Ontario||"
"Sherbrooke|QC|Quebec||"
"Saguenay|QC|Quebec||"
"Levis|QC|Quebec||"
"Kelowna|BC|British Columbia||"
"Abbotsford|BC|British Columbia||"
"Coquitlam|BC|British Columbia||"
"Trois-Rivieres|QC|Quebec||"
"Guelph|ON|Ontario||"
"Cambridge|ON|Ontario||"
"Whitby|ON|Ontario||"
"Ajax|ON|Ontario||"
"Langley|BC|British Columbia||"
"Saanich|BC|British Columbia||"
"Terrebonne|QC|Quebec||"
"Milton|ON|Ontario||"
"St. John's|NL|Newfoundland and Labrador||"
"Moncton|NB|New Brunswick||"
"Thunder Bay|ON|Ontario||"
"Dieppe|NB|New Brunswick||"
"Waterloo|ON|Ontario||"
"Delta|BC|British Columbia||"
"Chatham|ON|Ontario||"
"Red Deer|AB|Alberta||"
"Kamloops|BC|British Columbia||"
"Brantford|ON|Ontario||"
"Cape Breton|NS|Nova Scotia||"
"Lethbridge|AB|Alberta||"
"Saint-Jean-sur-Richelieu|QC|Quebec||"
"Clarington|ON|Ontario||"
"Pickering|ON|Ontario||"
"Nanaimo|BC|British Columbia||"
"Sudbury|ON|Ontario||"
"North Vancouver|BC|British Columbia||"
"Brossard|QC|Quebec||"
"Repentigny|QC|Quebec||"
"Newmarket|ON|Ontario||"
"Chilliwack|BC|British Columbia||"
"White Rock|BC|British Columbia||"
"Maple Ridge|BC|British Columbia||"
"Peterborough|ON|Ontario||"
"Kawartha Lakes|ON|Ontario||"
"Prince George|BC|British Columbia||"
"Sault Ste. Marie|ON|Ontario||"
"Sarnia|ON|Ontario||"
"Wood Buffalo|AB|Alberta||"
"New Westminster|BC|British Columbia||"
"Chateauguay|QC|Quebec||"
"Saint-Jerome|QC|Quebec||"
"Drummondville|QC|Quebec||"
"Saint John|NB|New Brunswick||"
"Caledon|ON|Ontario||"
"St. Albert|AB|Alberta||"
"Granby|QC|Quebec||"
"Medicine Hat|AB|Alberta||"
"Grande Prairie|AB|Alberta||"
"St. Thomas|ON|Ontario||"
"Airdrie|AB|Alberta||"
"Halton Hills|ON|Ontario||"
"Saint-Hyacinthe|QC|Quebec||"
"Lac-Brome|QC|Quebec||"
"Port Coquitlam|BC|British Columbia||"
"Fredericton|NB|New Brunswick||"
"Blainville|QC|Quebec||"
"Aurora|ON|Ontario||"
"Welland|ON|Ontario||"
"North Bay|ON|Ontario||"
"Beloeil|QC|Quebec||"
"Belleville|ON|Ontario||"
"Mirabel|QC|Quebec||"
"Shawinigan|QC|Quebec||"
"Dollard-des-Ormeaux|QC|Quebec||"
"Brandon|MB|Manitoba||"
"Rimouski|QC|Quebec||"
"Cornwall|ON|Ontario||"
"Stouffville|ON|Ontario||"
"Georgina|ON|Ontario||"
"Victoriaville|QC|Quebec||"
"Vernon|BC|British Columbia||"
"Duncan|BC|British Columbia||"
"Saint-Eustache|QC|Quebec||"
"Quinte West|ON|Ontario||"
"Charlottetown|PE|Prince Edward Island||"
"Mascouche|QC|Quebec||"
"West Vancouver|BC|British Columbia||"
"Salaberry-de-Valleyfield|QC|Quebec||"
"Rouyn-Noranda|QC|Quebec||"
"Timmins|ON|Ontario||"
"Sorel-Tracy|QC|Quebec||"
"New Tecumseth|ON|Ontario||"
"Woodstock|ON|Ontario||"
"Boucherville|QC|Quebec||"
"Mission|BC|British Columbia||"
"Vaudreuil-Dorion|QC|Quebec||"
"Brant|ON|Ontario||"
"Lakeshore|ON|Ontario||"
"Innisfil|ON|Ontario||"
"Prince Albert|SK|Saskatchewan||"
"Langford Station|BC|British Columbia||"
"Bradford West Gwillimbury|ON|Ontario||"
"Campbell River|BC|British Columbia||"
"Spruce Grove|AB|Alberta||"
"Moose Jaw|SK|Saskatchewan||"
"Penticton|BC|British Columbia||"
"Port Moody|BC|British Columbia||"
"Leamington|ON|Ontario||"
"East Kelowna|BC|British Columbia||"
"Cote-Saint-Luc|QC|Quebec||"
"Val-d'Or|QC|Quebec||"
"Owen Sound|ON|Ontario||"
"Stratford|ON|Ontario||"
"Lloydminster|SK|Saskatchewan||"
"Pointe-Claire|QC|Quebec||"
"Orillia|ON|Ontario||"
"Alma|QC|Quebec||"
"Orangeville|ON|Ontario||"
"Fort Erie|ON|Ontario||"
"LaSalle|ON|Ontario||"
"Sainte-Julie|QC|Quebec||"
"Leduc|AB|Alberta||"
"North Cowichan|BC|British Columbia||"
"Chambly|QC|Quebec||"
"Okotoks|AB|Alberta||"
"Sept-Iles|QC|Quebec||"
"Centre Wellington|ON|Ontario||"
"Saint-Constant|QC|Quebec||"
"Grimsby|ON|Ontario||"
"Boisbriand|QC|Quebec||"
"Conception Bay South|NL|Newfoundland and Labrador||"
"Saint-Bruno-de-Montarville|QC|Quebec||"
"Sainte-Therese|QC|Quebec||"
"Cochrane|AB|Alberta||"
"Thetford Mines|QC|Quebec||"
"Courtenay|BC|British Columbia||"
"Magog|QC|Quebec||"
"Whitehorse|YT|Yukon||"
"Woolwich|ON|Ontario||"
